date,inrisk_17,inrisk_43,inrisk_08,inrisk_25
2020-02-15,1.062983428843778,0.7162864679444206,0.5106411802242523,0.30437226331566114
2020-02-16,0.8659552815379954,0.5521316416834748,0.4904183785653979,0.22414488966163743
2020-02-17,0.7432553250068713,0.5536131542843692,0.4625183283953022,0.23210317773548808
2020-02-18,0.7801004303818154,0.5811976416140969,0.49580431557820054,0.24236792315057812
2020-02-19,0.7645204505664812,0.5981496528389849,0.5223888305880462,0.25120140059649687
2020-02-20,1.0666387316700932,0.7708874374116503,0.6141592991674831,0.3211222936753574
2020-02-21,1.7542780855620477,1.313416783906493,0.7755747597098634,0.604684530195819
2020-02-22,2.061168251415146,1.546424139611824,0.9250994369482146,0.5600479201876433
2020-02-23,1.7648886197834923,1.1827742891126118,1.7295029599121459,0.47589794766765087
2020-02-24,1.6344327594752543,1.2848294640991285,1.9089417523521648,0.5358743277071926
2020-02-25,1.8798354356389508,1.4868785665547846,2.1519494778488286,0.6077263325477035
2020-02-26,2.214570825634102,1.825887571124086,2.4027421067625943,0.8143283853621625
2020-02-27,2.4223351572997114,1.9854037088453482,2.9916358175141187,1.0507668053808343
2020-02-28,3.995507316927842,3.136462637776296,3.9017109299188166,1.5910226912852745
2020-02-29,4.4429439550917635,3.2602381517579957,3.291688946789351,1.349794651942616
2020-03-01,4.915327622701113,3.6167665743251964,6.89609769348166,1.644064764406614
2020-03-02,5.576650102548485,4.729918039423429,7.320966731716785,2.1533345088333946
2020-03-03,6.9852554959596285,5.909163228548058,9.178013102490974,2.883587573363946
2020-03-04,9.401145564230648,7.922437915834995,12.647791658817168,3.5663468457922436
2020-03-05,12.421164285975438,10.485048285724817,17.25509875818243,4.884831207575913
2020-03-06,21.062102399302614,17.308401226096624,22.463024189509486,8.488284300809301
2020-03-07,30.155056688193863,21.923320959312097,24.061552385031437,9.235816895674812
2020-03-08,28.477760363875582,21.226436355223434,42.33626447179066,10.111514264413362
2020-03-09,33.89198144497286,28.021935250568756,43.148406171009285,11.677993199504671
2020-03-10,47.21875412578129,38.29346659428815,52.1559126119361,16.52993826495721
2020-03-11,58.783446458951964,47.92215642679976,61.14052810800023,20.426180160470793
2020-03-12,76.99357434894678,63.03681110910909,74.86133435360458,27.32695084116853
2020-03-13,102.08178222612864,84.45085744230259,83.96789473182636,34.05262234108128
2020-03-14,62.49078389779817,48.005293747769805,55.604744276494614,16.450848566529825
2020-03-15,42.64189974053409,29.892981967049487,57.873570153454395,12.512410821760753
2020-03-16,86.65960204745105,69.49720026560034,87.36213531489939,29.673954720633876
2020-03-17,94.13577471508242,78.33394454113943,99.1612784536879,35.67145984254841
2020-03-18,104.68849982672214,86.53041500122927,110.32295141826785,39.16705717799567
2020-03-19,115.41921948562454,89.9744101022872,114.37350401811977,41.697823669648976
2020-03-20,118.55426063620102,93.73656232697243,114.326452144878,42.741231296221606
2020-03-21,68.12528515955276,47.50144725005253,57.905906991979606,17.836943026144837
2020-03-22,55.20306714495365,36.178391867405,57.9783380977756,15.877647608968198
2020-03-23,124.48082148695757,105.53855890793005,139.8935397891773,53.37236940445321
2020-03-24,135.04205384300306,114.34200734942092,157.43359298040377,57.42312206322432
2020-03-25,136.69387927988387,112.45325911162736,156.6951745533802,53.665719066290514
2020-03-26,140.55632389919978,113.49771246189,158.96546374362427,56.862175075370175
2020-03-27,138.2411741672915,108.66176937733997,147.754893066134,53.58392311931382
2020-03-28,78.76658589673984,50.53102189256869,73.03859791265806,23.37251107701075
2020-03-29,60.98793886453445,42.764505674166564,67.97791132834747,19.174231524613827
2020-03-30,106.18432116003181,89.13715085859322,126.7820222486196,47.76870430543944
2020-03-31,110.5524520577544,83.68297110089426,128.668720412898,47.41343770420259
2020-04-01,99.91795732218404,81.76673118067393,126.54168334832556,42.791130080820274
2020-04-02,105.10542231872822,83.08205933141777,128.34101192409184,45.073479156190956
2020-04-03,102.47617012181486,78.24824949492616,117.89854702115505,40.32698845539036
2020-04-04,64.09883112849788,41.18472823719661,64.08046226066773,19.301286736530137
2020-04-05,50.14115867746209,31.581261795214193,56.52264298813463,15.831183162290888
2020-04-06,89.80548174343356,71.69457610421594,110.97667436950354,39.41776003332868
2020-04-07,88.9511663113479,70.48911978517656,113.92989335578346,40.145689612866434
2020-04-08,87.39688438633499,71.84756045950255,111.5491042593117,40.148241644437654
2020-04-09,82.86657868172418,63.15661420572473,99.51638951787773,32.758882451709745
2020-04-10,51.327491351394734,30.230168815216718,50.47080388582066,15.926507756746929
2020-04-11,50.81518562831116,34.20410324570985,56.13427957508065,16.56509555226166
2020-04-12,43.43653373407306,25.07115973518815,41.48215200804067,10.309461985159174
2020-04-13,45.3230616631388,28.941463990956088,56.60479201235581,16.114992306280268
2020-04-14,87.11785382213547,69.53110654327175,112.96410336521302,35.533949820763354
2020-04-15,89.22660007457627,69.44493505613863,113.46655112752579,35.305309098212355
2020-04-16,85.54512034907712,70.28952402452073,112.21154725089181,35.49895428563401
2020-04-17,81.8563943407262,64.64667159375753,103.47813277835924,32.54407666055838
2020-04-18,45.548080824586684,30.503381163102027,50.760036479058186,11.973207934706558
2020-04-19,29.60355314765726,19.888878545560523,40.10857294533824,7.966338174566916
2020-04-20,69.94171656309769,55.217744492520104,91.47133073042531,26.97821626060109
2020-04-21,66.74918108483274,51.51426884452343,90.91122171850145,25.261138885352807
2020-04-22,63.987376791711185,49.61656552753098,83.06828429246471,24.664522536507995
2020-04-23,61.32480125221648,47.06306982818208,84.31304010454818,21.16071601242153
