date,inrisk_17,inrisk_43,inrisk_08,inrisk_25
2020-02-15,1.0629834288437783,0.7162864679444205,0.5106411802242522,0.3043722633156611
2020-02-16,0.8659552815379955,0.5521316416834751,0.49041837856539794,0.22414488966163743
2020-02-17,0.7432553250068713,0.5536131542843692,0.46251832839530216,0.23210317773548805
2020-02-18,0.7801004303818154,0.581197641614097,0.4958043155782006,0.2423679231505781
2020-02-19,0.7645204505664812,0.5981496528389849,0.522388830588046,0.25120140059649687
2020-02-20,1.0666387316700932,0.7708874374116502,0.6141592991674831,0.32112229367535733
2020-02-21,1.754278085562048,1.3134167839064932,0.7755747597098633,0.6046845301958191
2020-02-22,2.0611682514151455,1.5464241396118237,0.9250994369482145,0.560047920187643
2020-02-23,1.764888619783492,1.1827742891126116,1.7295029599121459,0.4758979476676508
2020-02-24,1.6344327594752543,1.2848294640991285,1.908941752352165,0.5358743277071926
2020-02-25,1.879835435638951,1.4868785665547848,2.1519494778488286,0.6077263325477036
2020-02-26,2.214570825634102,1.8258875711240863,2.4027421067625934,0.8143283853621626
2020-02-27,2.4223351572997114,1.9854037088453484,2.9916358175141187,1.0507668053808341
2020-02-28,3.995507316927842,3.136462637776296,3.9017109299188157,1.591022691285274
2020-02-29,4.442943955091763,3.2602381517579953,3.2916889467893506,1.349794651942616
2020-03-01,4.895921905160301,3.604954978570666,6.8945019776728715,1.6395579244427418
2020-03-02,5.5597907794419,4.71806974409343,7.322663613254262,2.1492861342277574
2020-03-03,6.967903135104457,5.897134641291202,9.18104795646488,2.879271773220664
2020-03-04,9.383639070333533,7.910186202713746,12.651001837537967,3.562133027315916
2020-03-05,12.403152267307972,10.472570926515639,17.260418687719408,4.880517259377135
2020-03-06,21.03907845231272,17.292311148605396,22.46779916377129,8.482322128934223
2020-03-07,30.129089598869463,21.9064920384758,24.062804288998894,9.229809205161924
2020-03-08,28.458734419681697,21.21532840585304,42.34383326145977,10.107008343685857
2020-03-09,33.87546237460109,28.010541968680286,43.15744536396262,11.674608050468878
2020-03-10,47.20021416784825,38.28180267120076,52.16053422389823,16.52622838272641
2020-03-11,58.766498014018666,47.91081208393156,61.14946736587625,20.422628280241028
2020-03-12,76.958529846578,63.012492166347414,74.87290169175309,27.318420822087518
2020-03-13,102.0355948088009,84.42287971347166,83.85876039522921,34.039391428568585
2020-03-14,62.472854827463976,47.99209159518081,55.52996953088484,16.44307921814821
2020-03-15,42.63770993413141,29.890912626116155,57.82764981702643,12.510100035645968
2020-03-16,86.65111023459134,69.49147432799465,87.30345799165879,29.670204138850117
2020-03-17,94.12875359585249,78.33047604573437,99.11443630015802,35.667507491451246
2020-03-18,104.67262944093552,86.52098688892772,110.27143463128894,39.16117955441247
2020-03-19,115.40392372049973,89.96339956070211,114.32459007236494,41.6929955004997
2020-03-20,118.52251011003071,93.71634344579786,114.27365016528321,42.73274887651975
2020-03-21,68.10922594399102,47.491811032795844,57.863467744456926,17.83170930926959
2020-03-22,55.18431172602694,36.16824007576616,57.94861879968512,15.872790073791766
2020-03-23,124.4378446639411,105.50989093760838,139.81708834087627,53.35590083327464
2020-03-24,134.9867535559669,114.29777703508387,157.21578424861696,57.40014966328566
2020-03-25,136.60150798191765,112.38312169255816,156.42219850648155,53.63335491654745
2020-03-26,140.43778335970433,113.40262098092816,158.64767748260095,56.82421361025246
2020-03-27,138.12291298129568,108.55536921004021,147.30090765770203,53.54415397222168
2020-03-28,78.69007283077123,50.48049114674706,72.8030959707262,23.35545082045698
2020-03-29,60.915290776300594,42.71476095461762,67.77919534029236,19.156002992462895
2020-03-30,106.04749466142316,89.01638076922644,126.33986955999725,47.72515939595117
2020-03-31,110.40588403297481,83.5661043577034,128.15544696394562,47.363940838128705
2020-04-01,99.76297218629075,81.63173401031561,126.00361249128409,42.73972954150851
2020-04-02,104.93059910703437,82.92793873816038,127.71665522913504,45.01404499253502
2020-04-03,102.30993789644819,78.10324235158531,117.28111718022984,40.27396447576266
2020-04-04,63.98748635532669,41.1058294391327,63.727612027247424,19.275154994306178
2020-04-05,50.04990694109818,31.527318694669702,56.2295463526926,15.807809754253615
2020-04-06,89.64174813105375,71.54974915073815,110.38077269351928,39.365478881877195
2020-04-07,88.79211041729904,70.34957006314235,113.42806688946561,40.09468522982036
2020-04-08,87.26149622532066,71.71866915541035,111.0942135191837,40.1043284904181
2020-04-09,82.75672215690328,63.0584737678924,99.10521526064679,32.722031000281916
2020-04-10,51.258807536068055,30.190931067739598,50.348568760668826,15.911943775571855
2020-04-11,50.75582914473981,34.162516832437674,55.98906452365419,16.550653907835567
2020-04-12,43.39561639713209,25.045910703972037,41.378823684181825,10.300975786598656
2020-04-13,45.28198350596441,28.915316852184475,56.503679539398284,16.10536174459737
2020-04-14,87.03700871703481,69.45693083162854,112.77367310033753,35.51239380745087
2020-04-15,89.17299204385378,69.40014072089352,113.32060228740144,35.289231656489406
2020-04-16,85.4992715367804,70.24937958781251,112.09024341875435,35.48068383425051
2020-04-17,81.81826365702118,64.61182639100664,103.35668206347609,32.52715575113266
2020-04-18,45.531232534788124,30.488856321027427,50.69933669893568,11.967069925867287
2020-04-19,29.594991041065605,19.881950955247998,40.06247416764824,7.962862117288145
2020-04-20,69.92023279869318,55.195276539186125,91.35048907103412,26.966316642471142
2020-04-21,66.72714017952889,51.493196290929596,90.78864219213412,25.24945913597491
2020-04-22,63.98187505346907,49.60402913970917,82.94743102173621,24.65603269833603
2020-04-23,61.32046285231572,47.05017855120259,84.18035588520942,21.152475941720294
